Observation ,VisitAsia ,Smoking   ,Tuberculosis ,LungCancer ,Tb_or_Ca ,XRay     ,Bronchitis ,Dyspnea ,Probability
        129 ,NoVisit   ,Smoking   ,Present      ,Present    ,True     ,Abnormal ,Present    ,True    ,0.00026195400000000006
        130 ,NoVisit   ,Smoking   ,Present      ,Present    ,True     ,Abnormal ,Present    ,False   ,2.9106000000000006e-05
        131 ,NoVisit   ,Smoking   ,Present      ,Present    ,True     ,Abnormal ,Absent     ,True    ,0.000135828
        132 ,NoVisit   ,Smoking   ,Present      ,Present    ,True     ,Abnormal ,Absent     ,False   ,5.8212000000000004e-05
        133 ,NoVisit   ,Smoking   ,Present      ,Present    ,True     ,Normal   ,Present    ,True    ,5.346000000000001e-06
        134 ,NoVisit   ,Smoking   ,Present      ,Present    ,True     ,Normal   ,Present    ,False   ,5.940000000000002e-07
        135 ,NoVisit   ,Smoking   ,Present      ,Present    ,True     ,Normal   ,Absent     ,True    ,2.7720000000000007e-06
        136 ,NoVisit   ,Smoking   ,Present      ,Present    ,True     ,Normal   ,Absent     ,False   ,1.1880000000000003e-06
        137 ,NoVisit   ,Smoking   ,Present      ,Present    ,False    ,Abnormal ,Present    ,True    ,0.0
        138 ,NoVisit   ,Smoking   ,Present      ,Present    ,False    ,Abnormal ,Present    ,False   ,0.0
        139 ,NoVisit   ,Smoking   ,Present      ,Present    ,False    ,Abnormal ,Absent     ,True    ,0.0
        140 ,NoVisit   ,Smoking   ,Present      ,Present    ,False    ,Abnormal ,Absent     ,False   ,0.0
        141 ,NoVisit   ,Smoking   ,Present      ,Present    ,False    ,Normal   ,Present    ,True    ,0.0
        142 ,NoVisit   ,Smoking   ,Present      ,Present    ,False    ,Normal   ,Present    ,False   ,0.0
        143 ,NoVisit   ,Smoking   ,Present      ,Present    ,False    ,Normal   ,Absent     ,True    ,0.0
        144 ,NoVisit   ,Smoking   ,Present      ,Present    ,False    ,Normal   ,Absent     ,False   ,0.0
        145 ,NoVisit   ,Smoking   ,Present      ,Absent     ,True     ,Abnormal ,Present    ,True    ,0.0023575860000000005
        146 ,NoVisit   ,Smoking   ,Present      ,Absent     ,True     ,Abnormal ,Present    ,False   ,0.00026195400000000006
        147 ,NoVisit   ,Smoking   ,Present      ,Absent     ,True     ,Abnormal ,Absent     ,True    ,0.0012224520000000002
        148 ,NoVisit   ,Smoking   ,Present      ,Absent     ,True     ,Abnormal ,Absent     ,False   ,0.0005239080000000001
        149 ,NoVisit   ,Smoking   ,Present      ,Absent     ,True     ,Normal   ,Present    ,True    ,4.811400000000001e-05
        150 ,NoVisit   ,Smoking   ,Present      ,Absent     ,True     ,Normal   ,Present    ,False   ,5.346000000000001e-06
        151 ,NoVisit   ,Smoking   ,Present      ,Absent     ,True     ,Normal   ,Absent     ,True    ,2.4948000000000002e-05
        152 ,NoVisit   ,Smoking   ,Present      ,Absent     ,True     ,Normal   ,Absent     ,False   ,1.0692e-05
        153 ,NoVisit   ,Smoking   ,Present      ,Absent     ,False    ,Abnormal ,Present    ,True    ,0.0
        154 ,NoVisit   ,Smoking   ,Present      ,Absent     ,False    ,Abnormal ,Present    ,False   ,0.0
        155 ,NoVisit   ,Smoking   ,Present      ,Absent     ,False    ,Abnormal ,Absent     ,True    ,0.0
        156 ,NoVisit   ,Smoking   ,Present      ,Absent     ,False    ,Abnormal ,Absent     ,False   ,0.0
        157 ,NoVisit   ,Smoking   ,Present      ,Absent     ,False    ,Normal   ,Present    ,True    ,0.0
        158 ,NoVisit   ,Smoking   ,Present      ,Absent     ,False    ,Normal   ,Present    ,False   ,0.0
        159 ,NoVisit   ,Smoking   ,Present      ,Absent     ,False    ,Normal   ,Absent     ,True    ,0.0
        160 ,NoVisit   ,Smoking   ,Present      ,Absent     ,False    ,Normal   ,Absent     ,False   ,0.0
        161 ,NoVisit   ,Smoking   ,Absent       ,Present    ,True     ,Abnormal ,Present    ,True    ,0.025933446000000002
        162 ,NoVisit   ,Smoking   ,Absent       ,Present    ,True     ,Abnormal ,Present    ,False   ,0.002881494
        163 ,NoVisit   ,Smoking   ,Absent       ,Present    ,True     ,Abnormal ,Absent     ,True    ,0.013446972
        164 ,NoVisit   ,Smoking   ,Absent       ,Present    ,True     ,Abnormal ,Absent     ,False   ,0.005762988
        165 ,NoVisit   ,Smoking   ,Absent       ,Present    ,True     ,Normal   ,Present    ,True    ,0.0005292539999999999
        166 ,NoVisit   ,Smoking   ,Absent       ,Present    ,True     ,Normal   ,Present    ,False   ,5.8806e-05
        167 ,NoVisit   ,Smoking   ,Absent       ,Present    ,True     ,Normal   ,Absent     ,True    ,0.000274428
        168 ,NoVisit   ,Smoking   ,Absent       ,Present    ,True     ,Normal   ,Absent     ,False   ,0.000117612
        169 ,NoVisit   ,Smoking   ,Absent       ,Present    ,False    ,Abnormal ,Present    ,True    ,0.0
        170 ,NoVisit   ,Smoking   ,Absent       ,Present    ,False    ,Abnormal ,Present    ,False   ,0.0
        171 ,NoVisit   ,Smoking   ,Absent       ,Present    ,False    ,Abnormal ,Absent     ,True    ,0.0
        172 ,NoVisit   ,Smoking   ,Absent       ,Present    ,False    ,Abnormal ,Absent     ,False   ,0.0
        173 ,NoVisit   ,Smoking   ,Absent       ,Present    ,False    ,Normal   ,Present    ,True    ,0.0
        174 ,NoVisit   ,Smoking   ,Absent       ,Present    ,False    ,Normal   ,Present    ,False   ,0.0
        175 ,NoVisit   ,Smoking   ,Absent       ,Present    ,False    ,Normal   ,Absent     ,True    ,0.0
        176 ,NoVisit   ,Smoking   ,Absent       ,Present    ,False    ,Normal   ,Absent     ,False   ,0.0
        177 ,NoVisit   ,Smoking   ,Absent       ,Absent     ,True     ,Abnormal ,Present    ,True    ,0.0
        178 ,NoVisit   ,Smoking   ,Absent       ,Absent     ,True     ,Abnormal ,Present    ,False   ,0.0
        179 ,NoVisit   ,Smoking   ,Absent       ,Absent     ,True     ,Abnormal ,Absent     ,True    ,0.0
        180 ,NoVisit   ,Smoking   ,Absent       ,Absent     ,True     ,Abnormal ,Absent     ,False   ,0.0
        181 ,NoVisit   ,Smoking   ,Absent       ,Absent     ,True     ,Normal   ,Present    ,True    ,0.0
        182 ,NoVisit   ,Smoking   ,Absent       ,Absent     ,True     ,Normal   ,Present    ,False   ,0.0
        183 ,NoVisit   ,Smoking   ,Absent       ,Absent     ,True     ,Normal   ,Absent     ,True    ,0.0
        184 ,NoVisit   ,Smoking   ,Absent       ,Absent     ,True     ,Normal   ,Absent     ,False   ,0.0
        185 ,NoVisit   ,Smoking   ,Absent       ,Absent     ,False    ,Abnormal ,Present    ,True    ,0.010585080000000002
        186 ,NoVisit   ,Smoking   ,Absent       ,Absent     ,False    ,Abnormal ,Present    ,False   ,0.0026462700000000005
        187 ,NoVisit   ,Smoking   ,Absent       ,Absent     ,False    ,Abnormal ,Absent     ,True    ,0.0008820900000000002
        188 ,NoVisit   ,Smoking   ,Absent       ,Absent     ,False    ,Abnormal ,Absent     ,False   ,0.007938810000000001
        189 ,NoVisit   ,Smoking   ,Absent       ,Absent     ,False    ,Normal   ,Present    ,True    ,0.20111652000000002
        190 ,NoVisit   ,Smoking   ,Absent       ,Absent     ,False    ,Normal   ,Present    ,False   ,0.050279130000000005
        191 ,NoVisit   ,Smoking   ,Absent       ,Absent     ,False    ,Normal   ,Absent     ,True    ,0.016759710000000004
        192 ,NoVisit   ,Smoking   ,Absent       ,Absent     ,False    ,Normal   ,Absent     ,False   ,0.15083739000000002
        193 ,NoVisit   ,NoSmoking ,Present      ,Present    ,True     ,Abnormal ,Present    ,True    ,1.30977e-05
        194 ,NoVisit   ,NoSmoking ,Present      ,Present    ,True     ,Abnormal ,Present    ,False   ,1.4553e-06
        195 ,NoVisit   ,NoSmoking ,Present      ,Present    ,True     ,Abnormal ,Absent     ,True    ,2.3769899999999998e-05
        196 ,NoVisit   ,NoSmoking ,Present      ,Present    ,True     ,Abnormal ,Absent     ,False   ,1.01871e-05
        197 ,NoVisit   ,NoSmoking ,Present      ,Present    ,True     ,Normal   ,Present    ,True    ,2.673e-07
        198 ,NoVisit   ,NoSmoking ,Present      ,Present    ,True     ,Normal   ,Present    ,False   ,2.9700000000000005e-08
        199 ,NoVisit   ,NoSmoking ,Present      ,Present    ,True     ,Normal   ,Absent     ,True    ,4.850999999999999e-07
        200 ,NoVisit   ,NoSmoking ,Present      ,Present    ,True     ,Normal   ,Absent     ,False   ,2.0789999999999998e-07
        201 ,NoVisit   ,NoSmoking ,Present      ,Present    ,False    ,Abnormal ,Present    ,True    ,0.0
        202 ,NoVisit   ,NoSmoking ,Present      ,Present    ,False    ,Abnormal ,Present    ,False   ,0.0
        203 ,NoVisit   ,NoSmoking ,Present      ,Present    ,False    ,Abnormal ,Absent     ,True    ,0.0
        204 ,NoVisit   ,NoSmoking ,Present      ,Present    ,False    ,Abnormal ,Absent     ,False   ,0.0
        205 ,NoVisit   ,NoSmoking ,Present      ,Present    ,False    ,Normal   ,Present    ,True    ,0.0
        206 ,NoVisit   ,NoSmoking ,Present      ,Present    ,False    ,Normal   ,Present    ,False   ,0.0
        207 ,NoVisit   ,NoSmoking ,Present      ,Present    ,False    ,Normal   ,Absent     ,True    ,0.0
        208 ,NoVisit   ,NoSmoking ,Present      ,Present    ,False    ,Normal   ,Absent     ,False   ,0.0
        209 ,NoVisit   ,NoSmoking ,Present      ,Absent     ,True     ,Abnormal ,Present    ,True    ,0.0012966723000000001
        210 ,NoVisit   ,NoSmoking ,Present      ,Absent     ,True     ,Abnormal ,Present    ,False   ,0.0001440747
        211 ,NoVisit   ,NoSmoking ,Present      ,Absent     ,True     ,Abnormal ,Absent     ,True    ,0.0023532200999999997
        212 ,NoVisit   ,NoSmoking ,Present      ,Absent     ,True     ,Abnormal ,Absent     ,False   ,0.0010085228999999999
        213 ,NoVisit   ,NoSmoking ,Present      ,Absent     ,True     ,Normal   ,Present    ,True    ,2.64627e-05
        214 ,NoVisit   ,NoSmoking ,Present      ,Absent     ,True     ,Normal   ,Present    ,False   ,2.9403e-06
        215 ,NoVisit   ,NoSmoking ,Present      ,Absent     ,True     ,Normal   ,Absent     ,True    ,4.80249e-05
        216 ,NoVisit   ,NoSmoking ,Present      ,Absent     ,True     ,Normal   ,Absent     ,False   ,2.05821e-05
        217 ,NoVisit   ,NoSmoking ,Present      ,Absent     ,False    ,Abnormal ,Present    ,True    ,0.0
        218 ,NoVisit   ,NoSmoking ,Present      ,Absent     ,False    ,Abnormal ,Present    ,False   ,0.0
        219 ,NoVisit   ,NoSmoking ,Present      ,Absent     ,False    ,Abnormal ,Absent     ,True    ,0.0
        220 ,NoVisit   ,NoSmoking ,Present      ,Absent     ,False    ,Abnormal ,Absent     ,False   ,0.0
        221 ,NoVisit   ,NoSmoking ,Present      ,Absent     ,False    ,Normal   ,Present    ,True    ,0.0
        222 ,NoVisit   ,NoSmoking ,Present      ,Absent     ,False    ,Normal   ,Present    ,False   ,0.0
        223 ,NoVisit   ,NoSmoking ,Present      ,Absent     ,False    ,Normal   ,Absent     ,True    ,0.0
        224 ,NoVisit   ,NoSmoking ,Present      ,Absent     ,False    ,Normal   ,Absent     ,False   ,0.0
        225 ,NoVisit   ,NoSmoking ,Absent       ,Present    ,True     ,Abnormal ,Present    ,True    ,0.0012966723000000001
        226 ,NoVisit   ,NoSmoking ,Absent       ,Present    ,True     ,Abnormal ,Present    ,False   ,0.0001440747
        227 ,NoVisit   ,NoSmoking ,Absent       ,Present    ,True     ,Abnormal ,Absent     ,True    ,0.0023532200999999997
        228 ,NoVisit   ,NoSmoking ,Absent       ,Present    ,True     ,Abnormal ,Absent     ,False   ,0.0010085228999999999
        229 ,NoVisit   ,NoSmoking ,Absent       ,Present    ,True     ,Normal   ,Present    ,True    ,2.64627e-05
        230 ,NoVisit   ,NoSmoking ,Absent       ,Present    ,True     ,Normal   ,Present    ,False   ,2.9403e-06
        231 ,NoVisit   ,NoSmoking ,Absent       ,Present    ,True     ,Normal   ,Absent     ,True    ,4.80249e-05
        232 ,NoVisit   ,NoSmoking ,Absent       ,Present    ,True     ,Normal   ,Absent     ,False   ,2.05821e-05
        233 ,NoVisit   ,NoSmoking ,Absent       ,Present    ,False    ,Abnormal ,Present    ,True    ,0.0
        234 ,NoVisit   ,NoSmoking ,Absent       ,Present    ,False    ,Abnormal ,Present    ,False   ,0.0
        235 ,NoVisit   ,NoSmoking ,Absent       ,Present    ,False    ,Abnormal ,Absent     ,True    ,0.0
        236 ,NoVisit   ,NoSmoking ,Absent       ,Present    ,False    ,Abnormal ,Absent     ,False   ,0.0
        237 ,NoVisit   ,NoSmoking ,Absent       ,Present    ,False    ,Normal   ,Present    ,True    ,0.0
        238 ,NoVisit   ,NoSmoking ,Absent       ,Present    ,False    ,Normal   ,Present    ,False   ,0.0
        239 ,NoVisit   ,NoSmoking ,Absent       ,Present    ,False    ,Normal   ,Absent     ,True    ,0.0
        240 ,NoVisit   ,NoSmoking ,Absent       ,Present    ,False    ,Normal   ,Absent     ,False   ,0.0
        241 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,True     ,Abnormal ,Present    ,True    ,0.0
        242 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,True     ,Abnormal ,Present    ,False   ,0.0
        243 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,True     ,Abnormal ,Absent     ,True    ,0.0
        244 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,True     ,Abnormal ,Absent     ,False   ,0.0
        245 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,True     ,Normal   ,Present    ,True    ,0.0
        246 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,True     ,Normal   ,Present    ,False   ,0.0
        247 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,True     ,Normal   ,Absent     ,True    ,0.0
        248 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,True     ,Normal   ,Absent     ,False   ,0.0
        249 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,False    ,Abnormal ,Present    ,True    ,0.005821794
        250 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,False    ,Abnormal ,Present    ,False   ,0.0014554485
        251 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,False    ,Abnormal ,Absent     ,True    ,0.0016980232499999998
        252 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,False    ,Abnormal ,Absent     ,False   ,0.015282209249999998
        253 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,False    ,Normal   ,Present    ,True    ,0.11061408599999999
        254 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,False    ,Normal   ,Present    ,False   ,0.027653521499999997
        255 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,False    ,Normal   ,Absent     ,True    ,0.032262441749999995
        256 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,False    ,Normal   ,Absent     ,False   ,0.29036197574999995
